model,TREC.tsv,TREC-perturbed-char-deletion.tsv,TREC-perturbed-char-insertion.tsv,TREC-perturbed-char-letter-case-changing.tsv,TREC-perturbed-word-deletion.tsv,TREC-perturbed-word-ordering.tsv,TREC-perturbed-word-repetition.tsv
bart,"0.9261966135183518 , ( 704 / 96 )","0.9246351623078012 , ( 678 / 122 )","0.918600211942816 , ( 692 / 108 )","0.9159824675824269 , ( 498 / 302 )","0.917971218964531 , ( 689 / 111 )","0.9003764046508758 , ( 488 / 312 )","0.9239381634832955 , ( 703 / 97 )"
Deberta,"0.9794361985804864 , ( 754 / 46 )","0.9783664939374577 , ( 741 / 59 )","0.9817353292370876 , ( 738 / 62 )","0.9728808911947103 , ( 520 / 280 )","0.9776548002904186 , ( 727 / 73 )","0.9549783279284573 , ( 511 / 289 )","0.9809594264972672 , ( 749 / 51 )"
